,X2015.M11,X2015.M11r1,X2015.M11r10,X2015.M11r2,X2015.M11r3,X2015.M11r4,X2015.M11r5,X2015.M11r6,X2015.M11r7,X2015.M11r8,X2015.M11r9,X2015.M24,X2015.M24r1,X2015.M24r10,X2015.M24r11,X2015.M24r12,X2015.M24r2,X2015.M24r4,X2015.M24r5,X2015.M24r6,X2015.M24r7,X2015.M24r8,X2015.M24r9,X2015.M7,X2015.M7r1,X2015.M7r10,X2015.M7r11,X2015.M7r2,X2015.M7r3,X2015.M7r4,X2015.M7r5,X2015.M7r6,X2015.M7r7,X2015.M7r8,X2015.M7r9,X2015.M9,X2015.M9r1,X2015.M9r10,X2015.M9r11,X2015.M9r12,X2015.M9r2,X2015.M9r4,X2015.M9r5,X2015.M9r6,X2015.M9r7,X2015.M9r8,X2015.M9r9,X2016.11C,X2016.11L,X2016.11R,X2016.11r1,X2016.11r10,X2016.11r11,X2016.11r12,X2016.11r2,X2016.11r3,X2016.11r4,X2016.11r5,X2016.11r6,X2016.11r7,X2016.11r8,X2016.11r9,X2016.24C,X2016.24L,X2016.24R,X2016.24r1,X2016.24r10,X2016.24r11,X2016.24r12,X2016.24r2,X2016.24r3,X2016.24r4,X2016.24r5,X2016.24r6,X2016.24r7,X2016.24r8,X2016.24r9,X2016.7C,X2016.7L,X2016.7R,X2016.7r1,X2016.7r10,X2016.7r11,X2016.7r12,X2016.7r2,X2016.7r3,X2016.7r4,X2016.7r5,X2016.7r6,X2016.7r7,X2016.7r8,X2016.7r9,X2016.9C,X2016.9L,X2016.9R,X2016.9r1,X2016.9r10,X2016.9r11,X2016.9r12,X2016.9r2,X2016.9r3,X2016.9r4,X2016.9r5,X2016.9r6,X2016.9r7,X2016.9r8,X2016.9r9,adjp.t,adjp.y,adjp.i,pval.t,pval.y,pval.i
sq1,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386727,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386727,7314.23203386727,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386725,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,7314.23203386726,NA,NA,NA,NA,NA,NA
sq2,3119.77163006861,0,3507.49090872416,3764.73378304887,3937.92438318418,3769.95830637618,3078.14538259012,3834.0068928933,3822.29479107406,3580.54323600956,3407.85711783502,0,1471.11983996835,1685.04369386243,1491.19757045872,1523.03953634059,1486.28604329859,1388.36633761988,1447.38123738767,1531.05634201032,1656.92830165086,1565.21598290668,1708.86262011563,0,1617.88521778216,1768.08495903643,2141.56516674692,1704.34168643562,1574.96837231846,2015.98646055753,1898.92582627477,1621.82157218228,1504.17518173486,0,1397.07429473421,1544.42921234237,1385.42861218565,0,0,1620.02579183018,1706.36903362774,1677.92791790415,1644.31166921065,1523.40184643882,1697.46117833244,1665.47040230626,1798.66903321129,3375.14302464274,3423.65453217891,3381.79145451299,3278.63668716666,3257.51334397051,3401.89090132036,2854.8950930431,3546.69853232915,3471.2272948316,4115.34803407758,2545.58441408357,3548.25549841523,3191.78954756307,3385.60643530202,1717.58422265257,1369.81746477588,1362.0800774544,1299.10103229986,1175.17368242888,0,2143.54013768153,1510.11331038942,1350.90268010237,1415.35299425224,2264.39318779896,1363.97506745236,1846.42340246908,1305.99907885671,2251.76563145947,1613.17647452313,1459.57290432473,0,0,1229.22263894198,1439.70823865225,1792.2696997671,1603.34025137959,1394.91633122527,1516.05653432171,1317.83075738608,1270.00271441986,1781.17673132246,1713.95850251108,1228.06511502377,1724.11376158719,1534.66708746739,1419.79136186491,1459.6102678005,1433.19983802008,1314.11101243947,1894.84789146215,1853.03337269265,1265.75690282413,1562.68941408324,1492.38628899136,1634.65797318591,3388.36920040161,1531.50973190049,1518.14476586744,1511.58199102589,0.000794651808829353,0.810158865800126,0.133258575903512,0.000164410719068142,0.607619149350095,0.0229756165350883
sq3,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.31022570863,882.752142018462,992.036450668669,0,0,1001.27058202845,0,1015.7456233573,0,1047.56903852004,0,0,958.213844012941,1137.55744380655,965.606125978375,994.630339512181,0,1012.29132189449,0,0,0,0,1131.38419043685,976.470205747266,0,0,0,872.429280351023,0,0,949.855325036812,1011.48487605897,1048.70272809908,967.108243936639,818.89818118774,809.512044839167,804.484940926641,608.795072812694,284.174505542264,0,1843.49908584586,711.414665908061,785.733148159927,629.288655696329,795.460818634267,329.236690153204,724.963844098836,740.158729056612,182.019315023961,1000.8476030367,978.095708296485,1061.46370902145,612.069626265043,0,529.775993900314,732.565605891039,781.05509024525,671.727763600122,973.527712569151,699.964140875469,493.843405157677,725.663965564783,564.276830656869,681.729377004358,999.236622472943,0,0,548.50486941161,736.993503119606,1185.34499595559,943.269222362093,0,811.732224199126,749.28926496928,659.302092520013,883.851691185727,647.521756304577,509.935399995554,877.160687300063,955.580243131255,973.864111026474,974.561391854564,875.844345456716,729.310484717209,786.540634191836,798.819133863679,970.413625498501,819.558235897976,692.320521160356,661.355835305306,745.83807063611,834.472946519966,770.166189542084,1531.61031332141,0.602899662380408,1.88225913488028e-09,0.445402197575511,0.311844652955384,7.64667773545114e-10,0.153586964681211
sq4,875.168495062852,0,823.51803743193,902.478810580421,1090.19718661978,833.494183382489,1311.16967777626,954.387981921937,921.523687309742,894.370081193149,999.673256702377,0,0,471.241033029323,337.82068417182,382.437240402704,0,0,450.076083406849,445.564899531147,479.267860542659,462.393979152528,488.782212483695,0,443.844617267672,489.130079370623,450.730307923349,448.116240988023,514.57734920217,590.927237690842,501.622015516735,419.199643657284,0,0,0,490.009932819588,462.538518511863,0,0,513.528315799059,392.837554107639,500.274482596014,460.615848140405,480.983206484943,431.162907997486,471.471443264146,477.462101534073,904.744154081434,879.282143731383,961.621398503297,874.082388701842,1190.58340745152,412.491766487229,1852.6935950022,1037.47972111592,990.536863037252,1284.79767204667,1009.83448990872,1416.18241621343,963.491022271724,950.283535710643,1249.82135058732,446.718687659849,406.061499212164,397.762043255697,0,0,851.355886876705,460.531009551384,472.309490210744,519.715976118749,586.940395768556,462.897634094211,822.007737445155,500.686079584212,778.430085665199,456.983428541383,445.810114735574,0,0,371.268116819976,501.326975959267,601.662350888296,519.287282230073,702.798580356989,420.680996799775,655.78464360264,491.800595561221,590.132684053885,535.389939968907,386.847544824213,604.152260258653,478.224871448763,456.819152080182,460.126886154235,410.393216028799,431.417152315336,509.463819874257,102.158041986119,876.815509695797,419.53576361444,193.875945376978,418.772146976831,939.592561599481,458.850609700611,492.821024333023,762.188931801791,0.0427421748226214,0.000661904991507481,0.902600463741446,0.0117909447786542,0.00035163702673835,0.52911061667602
sq5,0,0,229.65714283313,203.90734632361,237.861204353407,194.909409037136,193.960011505364,230.369512877709,217.340492290033,183.77467421777,181.998561246607,0,0,167.076366255851,212.633727639484,246.331756349612,205.096819594967,0,162.582549953135,135.686430309897,162.994249869238,205.233691281603,223.764746891512,0,130.903481590465,138.987782116243,190.785315523111,140.622251356074,203.858119172745,227.125094758725,170.893271819329,167.221715775857,129.753130692783,0,240.231473051125,151.364324797674,180.422826369876,228.81919058297,0,114.905507126309,192.447635371549,235.530687061627,152.959225042851,183.396474415122,169.357682780994,218.438551281711,191.137141124485,183.327695125389,176.661468348879,173.253017328108,194.930305434928,189.449670361509,243.230201563552,413.752912035232,192.180767387664,219.153019741341,0,30.4679609621821,120.144840559939,169.603288564685,220.74909463092,0,155.947067020088,140.741704095867,144.316228514567,0,0,189.135894501312,169.218370951439,38.2649467843494,118.32268863415,500.210371651553,143.812857194318,0,145.083778322983,0,191.783209355072,154.6729907022,0,0,69.679771684211,0,362.663822291997,0,230.705916956094,144.445125827069,261.729453557514,148.408062072298,152.697954778022,176.094331287708,163.882687170985,152.17797498968,150.423459564793,159.53431818789,166.270588610302,270.207298066434,145.355044462758,262.180211397279,0,193.985732233583,130.088608872695,64.1886575910263,208.08784274048,155.820629780783,170.289426750465,187.741342603056,0,0.108704054440332,0.67956012262627,0.0187820259040137,0.0337357410332065,0.488433838137631,0.00194296819696693
sq6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.424027999346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.82461053214,85.4236467205972,104.08611506146,89.3947897535975,125.354422604472,0,252.849001799308,96.3374026750499,111.750646971279,114.870151436632,116.107635018045,55.4259347334527,97.7925344702761,99.1600211176323,0,151.452915232766,137.193593908576,163.694379339844,0,0,234.098432729013,79.9681753019458,74.27901434609,180.770774302173,0,149.430546928471,0,206.842413690198,105.376998496162,161.817082893342,164.084310242281,0,0,196.890021528207,0,263.994704981599,181.913618757499,0,162.037801408571,114.793619981366,162.872785471157,207.48957384543,192.282375195323,132.934883585048,139.069010851992,143.467461434629,166.582018991371,173.524003549677,162.209083322013,114.931895621715,351.559828919078,644.163209190249,98.4477591085436,0,125.102383672306,155.045843610554,95.1264518886431,147.8396952496,135.685788517663,105.148692051488,0.674790857663457,NA,NA,0.418835704756629,NA,NA
sq7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676.84998932748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2083.05320526165,1849.69881201985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
sq8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.58325395262,0,0,0,0,0,137.777431046087,0,0,0,133.796927448791,0,0,135.817200392331,0,0,172.099577267465,67.2287739528931,68.8756104448794,51.7072958692415,77.80657626702,0,0,0,65.2130110415723,66.0937678584997,0,51.6033933413534,60.7362039294722,68.563031547426,0,0,129.431571474886,120.241511902631,133.097299089406,0,0,42.0301987780692,124.95027390929,123.04806416928,122.431115322836,0,65.1652009161753,0,102.44091104562,83.0390172481279,129.853214667497,114.981773511424,0,0,0,0,46.9226468987228,157.090744484813,113.216792580305,148.457490433376,115.62848267214,99.2280025161757,123.954810349218,112.921477014091,79.4795864820656,62.695045875898,94.7754745234821,118.529513513091,116.798579023791,127.480245639493,77.7480470382193,0,0,153.248728464531,102.444779487247,88.0956576121739,100.149229126434,71.782537314743,95.822024698815,113.924860170491,123.507987489049,0.10946408126357,0,0.00854152498569055,0.0377462349184723,0,0.000589070688668314
sq9,0,0,0,0,0,0,0,0,0,0,0,0,0,97.1042128666484,78.2418478327104,99.6828897290257,0,0,0,0,0,0,97.5064260197652,0,120.67664709121,85.5309428407646,150.24343597445,0,93.7089741358584,0,70.3678178079588,0,0,0,0,110.316372310169,120.281884246584,0,0,0,87.9760618841368,129.633168847872,95.5995156517822,90.8331594980558,104.877464107497,94.8873344934131,94.4263167308214,60.2473243500927,54.5637952875019,0,0,162.790585011237,0,0,0,73.9206614206904,0,0,0,0,0,0,130.779817011083,98.1643818483776,114.739050939143,0,0,0,0,0,0,0,0,282.253263901761,96.8042101986117,0,99.3876527647378,100.455606395212,0,0,0,0,68.8491174121446,143.8639574636,0,89.1979516325276,0,154.772540367796,0,58.8297205423061,135.044961102271,0,0,108.919012417435,109.917134081307,99.5277665291722,78.1705907721226,0,1160.62886589785,77.1093285628494,0,130.3422740879,76.7810756635997,0,98.5597968330668,104.537793040338,232.551075542444,0.833358477441328,0.0770189956691338,0.725847001297523,0.54599348522018,0.0481368722932086,0.400467311060703
